zod_pk,element_sk,title,symbol,description_0,description_1
1,1,Овн,Овен,"#MAIN
Когда Луна проходит по знаку Овен, происходит увеличение психической и физической активности, возникает желание быть первым. Азарт возрастает, происходят изменения в умственных способностях, проявляется оригинальность, творчество, агрессивность и смелость. В это время хочется заниматься чем-то необычным, а не рутиной. Благоприятное время для: применения жестких мер, принятия смелых решений, запуска новых проектов, открытия нового дела (особенно того, где присутствует риск).","Позади импульсивный и эмоциональный период Ян под покровительством Овна, что делает ещё контрастнее переход к мягкому и деликатному времени Инь, которому соответствует Телец. Время спокойное и благоприятное, господствует успокаивающая женская энергетика. Люди тянутся к семье, дому, а на работе вопросы решаются легко и без разногласий. Период подходит для развития, достижения материальной стабильности. Можно инвестировать в дело или в себя. Разум ясен и точен как никогда, что отражается во всех сферах жизни. Луна в Тельце Возможности. Астрологи утверждают, что в этот период все дела и планы диктуются исключительно желаниями. И если у вас нет настроения что-то делать, вы можете с чистой совестью залечь дома и предаваться сладостному безделью. Но если запал есть — смело отправляйтесь воплощать идеи, которые давно вынашивали. Помните, время всегда поощряет тех, кто не сидит на месте и не стесняется своих амбиций, ведь тот, кто много хочет, как правило, получает тоже прилично, если только не сидит сложа руки. В эти дни Луна вселяет уверенность и помогает, включив холодный расчет, найти самый короткий и правильный путь к успеху. Обязательно сделайте что-то для красоты своего тела: сходите в спортзал или к косметологу, или просто примите расслабляющую ванну с пенкой и свечами. Запреты.
В этот период нельзя сорить деньгами, совершать необдуманные и стихийные траты. Нежелательно давать в долг, но при этом можно инвестировать. Противопоказано пить много жидкости, потому что сейчас это приводит к отёкам. Уязвимо горло, поэтому стоит избегать его переохлаждения. Нельзя брать деньги в долг, расточительно относиться к продуктам питания, электроэнергии. Обязательно проследите, чтобы все краны были исправны и из них не капала вода: считается, что так «утекает» финансовое благополучие. Настроение в этом периоде приподнятое. Появляется спокойствие и уверенность в своём будущем. Вырисовывается чёткий план, который остаётся только осуществить. Окружающие более терпимы друг к другу, менее эмоциональны и импульсивны. Период подходит для общения и знакомств: в это время все кажутся лучше, чем есть, и легко найти друга и даже любовь. Хочется стабильности, постоянства, заботится о ком-то и чувствовать ответную привязанность. Начинания. Период отлично подходит, чтобы действовать в выбранном направлении. Медлительный, но упорный Телец напоминает: важно не торопиться и двигаться строго по плану. В это время люди не склонны к опрометчивым поступкам, что помогает сделать новое дело перспективным и многообещающим. Особенно удачны начинания в финансовой сфере, своём бизнесе. Знакомства с новыми людьми тоже удачны: легко найти человека, который мыслит так же. Работа и бизнес сейчас на подъёме. Самое время показать все свои таланты и окунуться в рабочий процесс. Приходят интересные идеи, не сложно заниматься монотонной и однообразной работой. Можно получить повышение или премию, если не сидеть сложа руки, а бороться за своё место под солнцем. Возможны полезные знакомства, которые помогут развить собственное дело, расшириться и выйти на новый уровень дохода. Словом, этот период даёт много возможностей, которые не стоит упускать. Финансы. Успехом обернутся финансовые вложения. Можно решаться на серьёзные сделки, заключение важных контрактов. Не стоит занимать деньги или давать в долг. Можно вкладывать финансы в перспективное дело, но стоит сначала разобраться в нюансах и просчитать все риски. Телец не любит поспешность, особенно с деньгами, поэтому период вознаграждает тех, кто не рискует, а действует обдуманно, распоряжаясь финансами с умом. Любовь и семья. В этом периоде женщины становятся особенно прекрасны и привлекательны. Телец подчёркивает их лучшие качества, смягчает и придаёт мудрости. Мужчине легко влюбиться в это время и поверить, что он наконец нашёл свой идеал. Именно в этот период чаще всего делают предложения руки и сердца, начинают разговор о зачатии ребёнка, совместном проживании. Чувства становятся более глубокими, нежными, а в семье царят покой и равновесие. Здоровье. Стоит беречь горло и зубы, в остальном период благоприятен. Можно заниматься спортом, давать телу физические нагрузки. Телец – тот еще гурман, так что вы, скорее всего, испытаете нешуточный соблазн увлечься вредной пищей. Старайтесь не идти на поводу у низменных желаний. Период благоприятно влияет на половые органы, увеличивает либидо. В это время стоит уделить время косметическим и оздоравливающим процедурам. Творчество и обучение. Период отлично подходит для обучения: Телец способствует усидчивости, усиливает мыслительные процессы. Легко узнавать новое, закреплять материал, но вряд ли получится сделать важное открытие или придумать необычный проект. Творческим людям в этот период будет сложнее других Время подходит для монотонной, а не творческой работы. Людям искусства приходится сложнее: чувствуется недостаток креативных идей, зато можно совершенствовать мастерство.
"
2,2,Тлц,Телец,"#MAIN
Стресс и напряжение, которые наблюдались в предыдущие дни и были связаны с прохождением небесного светила знака Овна, постепенно сойдет на «нет». Во времена Тельца люди будут чувствовать умиротворение, спокойствие, надежность. Реакции начнут замедляться, мысли перестанут беспокоить и роиться. В эти дни все люди немного тугодумы и упрямы, поэтому их крайне сложно сдвинуть с места и заставить действовать. Они становятся флегматичными, медлительными, занимаются бытовыми делами, решают повседневные домашние задачи – например, купить продуктов на неделю, сделать мелкий косметический ремонт. Рабочее время они посвящают текущим делам. Если они занимаются предпринимательством, то в дни Тельца лучше не подписывать важных контрактов и не заключать крупных сделок, поскольку медлительность в мыслях и реакциях сослужит плохую службу.","Позади импульсивный и эмоциональный период Ян под покровительством Овна, что делает ещё контрастнее переход к мягкому и деликатному времени Инь, которому соответствует Телец. Время спокойное и благоприятное, господствует успокаивающая женская энергетика. Люди тянутся к семье, дому, а на работе вопросы решаются легко и без разногласий. Период подходит для развития, достижения материальной стабильности. Можно инвестировать в дело или в себя. Разум ясен и точен как никогда, что отражается во всех сферах жизни. Луна в Тельце Возможности. Астрологи утверждают, что в этот период все дела и планы диктуются исключительно желаниями.

И если у вас нет настроения что-то делать, вы можете с чистой совестью залечь дома и предаваться сладостному безделью. Но если запал есть — смело отправляйтесь воплощать идеи, которые давно вынашивали. Помните, время всегда поощряет тех, кто не сидит на месте и не стесняется своих амбиций, ведь тот, кто много хочет, как правило, получает тоже прилично, если только не сидит сложа руки.

В эти дни Луна вселяет уверенность и помогает, включив холодный расчет, найти самый короткий и правильный путь к успеху. Обязательно сделайте что-то для красоты своего тела: сходите в спортзал или к косметологу, или просто примите расслабляющую ванну с пенкой и свечами. Запреты.

В этот период нельзя сорить деньгами, совершать необдуманные и стихийные траты. Нежелательно давать в долг, но при этом можно инвестировать. Противопоказано пить много жидкости, потому что сейчас это приводит к отёкам. Уязвимо горло, поэтому стоит избегать его переохлаждения. Нельзя брать деньги в долг, расточительно относиться к продуктам питания, электроэнергии. "
3,3,Блз,Близнецы,"#MAIN
В такие дни люди чувствуют прилив сил и желание активно действовать. Однако вместе с этим возрастает внушаемость, риск стать подверженным различным влияниям со стороны. Нужно очень постараться, чтобы справиться с мимолетным порывом и избежать ошибок, сбившись с намеченного курса. В эти дни у людей «отключается» способность здраво рассуждать, и они посещают бессмысленные мероприятия, тратят время на пустые разговоры и деньги на ненужные вещи. А после этого с удивлением спрашивают себя: «Что это на меня нашло?» В этот период люди чувствуют непреодолимую тягу к общению и безграничному расширению контактов. Они с большой охотой и энтузиазмом знакомятся, а потом осознают, что половина новых знакомых им совершенно не нужна. В дни Близнецов люди становятся более восприимчивыми, эмоциональными. Любая мелочь способна вызвать бурную реакцию. Однако стоит заметить, что испытываемые эмоции и чувства отличаются поверхностностью – среди них нет глубоких, сильных и настоящих. Люди растрачивают свои душевные и физические силы на кучу пустяковых дел, стремятся закончить их одним махом, но при этом почти все из них остаются незавершенными. В такие дни возрастает потребность в смене обстановки, в новых впечатлениях, поэтому полезно совершить короткие прогулки по городу или поездки на автомобиле. Одиночество и уединение только во вред. Встречи с друзьями и родственниками принесут море положительных эмоций и радостных впечатлений.","Путешествуя по небу, Луна обязательно заглянет в гости к Близнецам. Как правило, момент её появления в этом созвездии ощущается сразу – настроение резко устремится вверх. Но вы должны быть готовы к некоторым сложностям. Покровитель Близнецов Меркурий отличается неугомонностью и тягой к приключениям – он с избытком наделяет этими качествами своих питомцев. Ну а хозяйка ночного неба нервничает из-за такого соседства – пока она идет по небосводу через созвездие Близнецов, может произойти всё что угодно. Зато благодаря Близнецам лунная энергия попадает к нам в «отфильтрованном» виде – мы легче воспринимаем проблемы и учимся радоваться мелочам. Жизнь, что называется, удалась – лунное влияние будет исключительно позитивным. Правда, это чревато неприятностями – люди становятся чересчур легкомысленными, забывают о дисциплине и ответственности. Луна в Близнецах Возможности – кажется, что в этот период нет ничего невозможного. Кажется, что все цели достижимы, мечты уже почти реальность, да и вообще, сам черт не брат. Но есть одно ""но"" — это все действительно кажется. В это время очень легко оказаться в плену иллюзий, выбраться из которого без потерь и разочарований практически невозможно. Из-за вакуума, в который нас будто бы запирает Луна, мы поддаемся странному чувству эйфории и, идя на поводу эмоций, можем наделать глупейших ошибок, расплачиваться за которые придется долго. Осознать, где правда, а где ложь будет сложно, так как и отличить настоящее от вымышленного и наносного. Правда, не обойдется и без положительных моментов: в этот период люди становятся раскованнее и чаще говорят то, что действительно долгое время хотели сказать. Они перестают обращать внимание на мнение окружающих и отдаются интуиции и чутью, исключая границы и условности. Запреты – воздушный поток, которым щедро делятся Близнецы, может унести куда угодно. Тем более, сами Близнецы не знают слова «нет». Следует быть аккуратней, ведь период богат на запреты и ограничения. Нежелательно надолго оставаться в одиночестве и предаваться воспоминаниям. Но, находясь в компании, не нужно выяснять отношения – это чревато скандалами, эмоции легко выходят через край. Ну и третий, главный запрет – Луна не рекомендует устраивать грандиозный шопинг и сорить деньгами – запросто можно остаться ни с чем. Настроение – настрой у большинства людей позитивный, бодрый, энергия как будто переполняет. Здесь кроется опасность – мы можем наворотить столько дел, что разгребать придется очень долго. Как говорится, кто кашу заварил, тот ее и расхлебывает. Нужно контролировать эмоции и следить, как наши действия отражаются на других. Несвойственные нам выходки могут смутить окружающих. Но те, кто устал держать себя в ежовых рукавицах, могут уйти в отрыв, ведь сейчас самое идеальное время для расслабления. Начинания – в этот период сама Луна повелевает: будьте дерзкими и ждет вас успех. Ну а кто мы такие, чтобы противиться воле светила? Да и Близнецы подзуживают: ну давай, не тяни, действуй. Слушать авантюристов-Близнецов точно не стоит, а вот прислушаться к внутреннему голосу будет очень даже полезно. Астрологи советуют заняться чем-то необычным и незнакомым — есть вероятность достичь успеха, и более того, вам удастся изменить свою жизнь к лучшему. И если раньше вы скромничали, боясь кому-то не понравится или вызвать странную реакцию, то в этот период даже думать об этом забудьте: получится всё и даже больше! Работа и бизнес – работа переходит на Федота. Как можно думать о делах в такой чудесный период? Но подумать всё-таки придется. Ведь именно сейчас мы можем легко получить новую должность, играючи завести полезные связи и без проблем заключить выгодную сделку. Что касается бизнеса, то тут и карты в руки – свое дело реально начать даже без стартового капитала. А вот бизнесменам, у которых есть средства, Луна советует не торопиться – шансы удвоить капитал и разориться примерно одинаковые. Финансы – деньги существуют для того, чтобы их тратить. Эту красивую фразу нужно забыть – в период, пока Луна в Близнецах, лучше подумать о выгодных вложениях. Можно поучиться управлять капиталом у успешных знакомых. А в идеале решение финансовых вопросов желательно отложить. Мы становимся невнимательными, а рассеянность – это лучшая приманка для мошенников. Луна утешит тех, кто успел расстроиться – если нельзя тратить, значит, можно зарабатывать. Источники дохода повсюду, нужно лишь разглядеть. Любовь и семья – если ссора, то надолго, если брак, то навсегда. В период, когда Луна гостит в созвездии Близнецов, нас «накрывает» – люди становятся чувственными и страстными. Ну а вероятность совершения ошибки при таком коктейле будет высокой. А еще мы перестаем думать об обязательствах – эгоизм вряд ли положительно скажется на отношениях. Период можно сравнить с лавиной, события развиваются стремительно. Общение с близкими людьми похоже на общение соседей – вроде всё хорошо, но всё время ждешь подвоха. Здоровье – Луна веселится с Близнецами, а наши нервные клетки страдают. Объяснение простое – всего слишком много. Много разговоров, мероприятий, контактов, связей, поэтому происходит перегрузка, и даже самый коммуникабельный человек может стать раздражительным. Но есть хороший рецепт от негатива – дыхательные упражнения. Они могут сочетаться с упражнениями по йоге или идти отдельным блоком. Еще в этот период полезны массажные процедуры, прогулки и активный отдых на свежем воздухе. Творчество и обучение – вдохновение может напасть в любой момент. В период Луны в Близнецах нужно постоянно носить с собой ручку и листочек или наговаривать умные фразы на диктофон. Тяга к прекрасному может появиться у кого угодно, и шанс познакомиться с музой есть даже у людей, далеких от искусства. Информация в эти дни усваивается легко, но так же легко исчезает – в одно ухо влетает, из другого вылетает. И тем, кто учится, следует вести конспекты и не забывать, что повторенье – мать ученья.

Далее: "
4,4,Рак,Рак,"#MAIN
В дни Рака большинство людей становятся легкоранимыми, обидчивыми и чувствительными. Они погружаются во внутренний мир, уходят от проблем и внешней обстановки. Значимость их переживаний, эмоций и впечатлений становится важнее, чем реальная жизнь. Их настроение становится весьма неустойчивым и изменчивым, поведение – крайне нестабильным. В этот период люди способны идти на поводу своих подсознательных импульсов, трудно поддающихся объяснению, и часто совершают неадекватные действия и поступки. Они могут без капли сомнения пойти на риск, пожертвовать чем-то важным. Самое разумное, что можно сделать в эти дни – отказаться от необдуманных поступков и импульсивных решений, тщательно обдумывать свое поведение и мысли. Полезно создать для себя комфортную, уютную и защищенную обстановку: например, навести в доме порядок, сделать небольшой ремонт. Совсем необязательно покидать свой внутренний мир – он просто станет более ярким и богатым.",-
5,1,Лев,Лев,"#MAIN
Дни Льва обычно сопровождаются бодростью, оптимизмом и хорошим настроением. Возникает убеждение, что можно достичь всего, даже самого трудного, что еще чуть-чуть – и весь мир послушно покорится. Хочется быть «засыпанными» комплиментами, похвалами. В это время следует чаще хвалить других, тогда в ответ можно получить то же самое. Дни Льва идеальны для праздника и шумных застолий. На «отлично» проводятся презентации. Хорошо одеться в свою самую красивую одежду и отправиться в те общественные места, где царит атмосфера безудержного веселья– в гости к знакомым, на концерт, в театр или кино. Следует обратить особое внимание на свой внешний вид, поскольку окружающие будут придирчиво его оценивать. Поэтому, чтобы произвести на общественность замечательное впечатление, следует постараться.",-
6,2,Дев,Дева,"#MAIN
В этот период люди становятся более рациональными, разумными и практичными. Однако в то же время в их характере просыпается и педантичность: они по мелочам ссорятся, придираются к близким, обращают внимание на ничтожные вещи, упуская главное. В эти дни часто происходят ссоры по таким пустякам, которые не стоят ни малейшего внимания, однако в дни Девы кажутся серьезными и значительными. Дни Девы дарят людям и хорошие качества характера – например, дисциплинированность, ответственность, внимательность и сосредоточенность. Бес проблемно выполняется сложная работа, которая требует большой концентрации внимания и точности действий. Люди становятся осторожными, рассудительными и аккуратными. Они не стремятся избавиться от проблемы одним махом, а доверяют своему разуму. К сожалению, речь идет о повседневных, мелких, бытовых делах. Если же говорить о глобальных решениях и рискованных проектах, то люди чувствуют острую нехватку в интуиции, природном чутье и способности просчитывать события наперед. Лучше всего заняться нудной, монотонной и трудоемкой работой, а важные ответственные шаги отложить на потом.",-
7,3,Вес,Весы,"#MAIN
Луна в этом знаке Зодиака настраивает людей на гармонию, полноценный отдых и покой. Возможность возникновения споров и конфликтов крайне низка. Люди гораздо легче находят с окружающими общий язык, идут на компромиссы, мирятся и прощают обидчиков. В такие дни немаловажное значение придается нормам этикета, правилам поведения и внешнему приличию, поэтому люди становятся приятными в общении, обходительными и деликатными. Пропадает всякое желание обижать, ссориться и спорить. Настроение отличается стабильностью, возникает понимание противоположного мнения и других точек зрения. Однако Луна награждает людей и такими качествами, как колебание, неуверенность в собственных силах и нерешительность. Возникают трудности в принятии выбора и важных решений, поэтому оно откладывается на неопределенный срок. В эти дни лучше работать над взаимоотношениями, искать компромисс, совместные решения, проводить встречи и переговоры, где требуется проявить дипломатические качества.",-
8,4,Скп,Скорпион,"#MAIN
Усиливаются эмоции, чувства, желания. Может нарастать склонность к истерикам и выяснению отношений. Крупные и мелкие страсти захватывают людей с головой. Человек чувствует недовольство собой, видит мир в черных тонах, хочет одним махом в корне изменить окружающую обстановку. Опасно поддаваться этому разрушительному желанию, поскольку причиной его появления является зависимость от перепадов настроения. В дни Скорпиона человек становится угрюмым, мрачным и раздражительным. Его нервирует все вокруг, поскольку повышается чувствительность. Жизнь предстает в своих самых худших чертах. Однако в этом есть определенный плюс: видя плохое, мы можем вовремя от него избавиться. В этот период полезен самоанализ и последовательное исправление недостатков характера. Резкие поступки и важные решения лучше отложить в сторону. Когда человек улучшит некоторые качества своего характера, мир будет казаться более дружелюбным и открытым.",-
9,1,Стр,Стрелец,"#MAIN
Дни Скорпиона, принесшие мрак и разрушение, сменяются спокойными днями Стрельца. Люди чувствуют сильную потребность в стабильности, равновесии и порядке. В них просыпается уважение к законам, нормам и правилам. Они хорошо воспринимают режимы, советы и рекомендации, нуждаются в наставниках и покровителях. Однако некоторые из них испытывают тягу давать советы самому. В эти дни происходит повышение интереса к событиям, происходящим в общественной жизни. Возникает желание сделать жизнь упорядоченной, укрепить под ногами землю. Это самое благоприятное время для учителей: они хорошо передают свои знания и учатся сами. Дни способствуют лучшему усвоению новых умений и навыков. Передача совета проходит с блеском, однако если нет просьбы, со своими советами лучше ни к кому не вмешиваться.",-
10,2,Коз,Козерог,"#MAIN
В эти дни накал страстей и эмоциональности спадает, а на первое место выходит ответственность и чувство долга. Во всех своих действиях и поступках люди исходят из соображений полезности и целесообразности. Мимолетные капризы и желания мгновенно отвергаются. Например, если человек в день Козерога пришел в магазин со списком, в котором значится только хлеб и молоко, то никакой шоколад, сдобные булочки или мороженое не смогут его соблазнить. Даже самые модные красотки равнодушно пройдут мимо яркого прилавка с парфюмерией и косметикой, приобретя только зубную пасту и мыло. В этот период также снижается способность к сопереживанию и сочувствию. Люди могут проявлять отчуждение к близким людям, равнодушие и жестокость. Они никого не жалеют – ни посторонних людей, ни родных и близких, ни самих себя. Все, что владеет людьми в эти дни – логика, разум, целесообразность. Лучше всего заняться такими делами, которые требуют строгого следования инструкциям, четкости и точности. Творчество и искусство лучше отложить до лучших времен. Хорошо навести на своем рабочем столе идеальный порядок, разложив все вещи по своим местам.",-
11,3,Вод,Водолей,"#MAIN
В дни Водолея люди жаждут раскрепощения и душевной свободы. Эмоции проявляются свободно и без стеснения, чувства оживают и расцветают. В это время даже малейшее давление и принуждение способно вызвать бурю отрицательных эмоций. Главной целью становится обретение внутренней независимости, свободы от оков, которые накладывает на нас общественное мнение и установки. Человек положительно относится к мелочам, которые дарят радость и хорошее настроение – например, вкусная шоколадка, новый флакончик духов, модный гаджет. И, приобретая это, он не чувствует за собой ни малейшей вины или угрызения совести. Ему хочется чего-то нового, неожиданного, смелого. Некоторые люди становятся способными на совершение таких причуд, что окружающие, улыбаясь, только разводят руками. Однако людям следует быть особенно осторожными, чтобы не создать анархию и не поражать окружающих слишком смелыми выходками. Сразу всем станет ясно, что это – не что иное, как желание самоутвердиться, продемонстрировать всем свою свободу от навязанных обществом правил, показать свою смелость и независимость. В этот период хорошо проводить различные эксперименты и реформы, даже если на первый взгляд они кажутся чересчур смелыми и рискованными. Большинство новшеств и идей будут внедрены на удивление успешно. Поэтому не стоит бояться рисковать, поскольку риск будет оправдан в любом случае. Например, может неожиданно повезти в лотерее или азартных играх. Тихий, спокойный, домашний отдых в кругу близких и родных способен только утомить и навести смертельную скуку, поэтому стоит побольше выходить в свет и общаться с коллегами, друзьями и знакомыми.",-
12,4,Рыб,Рыбы,"#MAIN
Эти дни характеризуются мечтательностью, склонностью к романтизму. Интуиция становится сильнее, появляются необычные мысли, склонность к мистицизму. Люди начинают охотно верить в непонятное, таинственное и волшебное. Если они верующие, то их вера становится сильнее в несколько раз. Люди легко понимают скрытую взаимосвязь вещей и событий, понимают сущность явлений. Они также становятся ласковыми, нежными и заботливыми, порой проявляя настоящую сентиментальность. Например, им ничего не стоит расплакаться над женским романом или мыльным сериалом. Возникает желание чаще говорить с близкими людьми, поддерживать их, вдохновлять и дарить хорошее настроение. В эти дни в людях просыпается способность чувствовать и воспринимать на глубоком уровне произведения искусства, музыку и поэзию. Душа настойчиво требует эстетических впечатлений и высоких переживаний. Полезно посетить выставку в музее, посмотреть старый любимый фильм, сходить в театр или же просто посидеть в тихом, спокойном уголке с томиком стихотворений в руках. Однако массовое, развлекательное искусство –телевизионные программы, сериалы и т.д. – несут для души только разочарование и пустоту. Поэтому следует выбирать такое искусство, которое способно оставить в душе глубокое впечатление и заставить задуматься о серьезных, вечных вопросах.",-
99,99,-,-," https://geocult.ru/luna/lunnyiy-goroskop/vliyanie-lunyi-v-znakah-zodiaka

 #MAIN
",-